FLUSHSTAGES entries=277504 bytes=61402977 enc_ms=217.8 lz4_ms=102.9 bloom_ms=36.6 crc_ms=15.0 write_ms=39.8 lz4=true
FLUSHSTAGES entries=271 bytes=2846 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60723067 enc_ms=240.4 lz4_ms=121.4 bloom_ms=39.9 crc_ms=16.7 write_ms=44.3 lz4=true
FLUSHSTAGES entries=268 bytes=2816 enc_ms=5.0 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269801 enc_ms=237.4 lz4_ms=119.9 bloom_ms=35.8 crc_ms=14.5 write_ms=38.5 lz4=true
FLUSHSTAGES entries=266 bytes=2797 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269792 enc_ms=182.3 lz4_ms=84.3 bloom_ms=39.2 crc_ms=22.7 write_ms=37.2 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=5.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=201.6 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=7.2 lz4=false
FLUSHSTAGES entries=305152 bytes=67520590 enc_ms=198.7 lz4_ms=91.9 bloom_ms=45.4 crc_ms=18.4 write_ms=56.1 lz4=true
FLUSHSTAGES entries=298 bytes=3116 enc_ms=8.7 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269578 enc_ms=240.8 lz4_ms=118.7 bloom_ms=39.8 crc_ms=16.4 write_ms=47.9 lz4=true
FLUSHSTAGES entries=266 bytes=2798 enc_ms=7.5 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60723104 enc_ms=233.0 lz4_ms=119.6 bloom_ms=40.7 crc_ms=16.7 write_ms=47.5 lz4=true
FLUSHSTAGES entries=268 bytes=2816 enc_ms=7.7 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60261677 enc_ms=231.0 lz4_ms=120.3 bloom_ms=39.7 crc_ms=16.9 write_ms=47.5 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=5.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.4 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=198.8 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=2.2 lz4=false
FLUSHSTAGES entries=309248 bytes=68426451 enc_ms=281.9 lz4_ms=130.5 bloom_ms=45.9 crc_ms=19.0 write_ms=67.5 lz4=true
FLUSHSTAGES entries=302 bytes=3160 enc_ms=6.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60722791 enc_ms=230.9 lz4_ms=119.2 bloom_ms=40.3 crc_ms=22.1 write_ms=49.2 lz4=true
FLUSHSTAGES entries=268 bytes=2817 enc_ms=5.0 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60496410 enc_ms=198.4 lz4_ms=96.0 bloom_ms=35.2 crc_ms=16.6 write_ms=46.6 lz4=true
FLUSHSTAGES entries=267 bytes=2806 enc_ms=5.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269758 enc_ms=238.3 lz4_ms=122.5 bloom_ms=38.2 crc_ms=14.2 write_ms=39.9 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=7.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=251.5 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=1.9 lz4=false
FLUSHSTAGES entries=339968 bytes=75223964 enc_ms=238.6 lz4_ms=112.4 bloom_ms=51.6 crc_ms=20.8 write_ms=60.0 lz4=true
FLUSHSTAGES entries=332 bytes=3462 enc_ms=10.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60496116 enc_ms=241.7 lz4_ms=123.2 bloom_ms=41.1 crc_ms=16.7 write_ms=41.5 lz4=true
FLUSHSTAGES entries=267 bytes=2808 enc_ms=8.0 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269730 enc_ms=243.2 lz4_ms=123.1 bloom_ms=41.6 crc_ms=17.0 write_ms=53.3 lz4=true
FLUSHSTAGES entries=266 bytes=2798 enc_ms=7.5 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269551 enc_ms=247.4 lz4_ms=126.5 bloom_ms=41.3 crc_ms=16.7 write_ms=44.9 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=8.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
